Name (Country);Citable documents_2018;Citable documents_2019;Citable documents_2020;Citable documents_2021;Citable documents_2022;Citable documents_total
Afghanistan;88;97;111;209;251;756
Albania;133;159;189;235;271;987
Algeria;627;528;647;933;928;3663
American Samoa;11;2;6;5;7;31
Andorra;7;12;14;20;19;72
Angola;54;49;57;69;83;312
Anguilla;6;8;12;8;10;44
Antigua and Barbuda;18;8;15;18;24;83
Argentina;3842;3796;4328;4716;4350;21032
Armenia;143;220;210;274;320;1167
Aruba;4;6;16;20;26;72
Australia;31358;32869;34814;39179;40359;178579
Austria;7187;7637;8739;9817;9687;43067
Azerbaijan;201;245;287;253;257;1243
Bahamas;14;21;19;27;28;109
Bahrain;216;322;340;471;441;1790
Bangladesh;1126;1633;2492;2903;3328;11482
Barbados;50;46;65;87;109;357
Belarus;379;536;568;719;651;2853
Belgium;11116;10979;12500;14145;13745;62485
Belize;8;14;16;35;28;101
Benin;186;179;220;260;241;1086
Bermuda;13;29;13;24;27;106
Bhutan;37;48;67;99;96;347
Bolivia;109;136;165;197;184;791
Bosnia and Herzegovina;449;489;512;706;610;2766
Botswana;217;202;225;293;288;1225
Brazil;22926;23054;26640;29362;27792;129774
British Indian Ocean Territory;;2;;2;;4
Brunei Darussalam;69;79;117;164;229;658
Bulgaria;1082;1172;1432;1467;1449;6602
Burkina Faso;297;317;300;440;446;1800
Burundi;36;26;50;44;41;197
Cambodia;213;225;225;233;266;1162
Cameroon;658;643;728;828;802;3659
Canada;35260;36701;38650;43480;43756;197847
Cape Verde;7;14;15;18;23;77
Cayman Islands;14;7;11;16;12;60
Central African Republic;32;31;38;31;41;173
Chad;25;22;27;45;37;156
Chile;3485;3626;4269;5054;4684;21118
China;113516;132454;162603;187116;228595;824284
Colombia;3320;3534;4264;5043;5014;21175
Comoros;5;11;6;8;7;37
Congo;281;251;234;250;245;1261
Cook Islands;2;2;1;2;3;10
Costa Rica;299;280;353;421;411;1764
Croatia;2017;2036;2249;2705;2704;11711
Cuba;755;795;968;1034;827;4379
Curaçao;;7;21;20;36;84
Cyprus;636;848;1009;1267;1319;5079
Czech Republic;5188;5294;5652;6264;5879;28277
Côte d’Ivoire;226;233;240;313;249;1261
Democratic Republic Congo;86;143;260;345;366;1200
Denmark;10129;10349;11432;12779;12700;57389
Djibouti;7;6;6;16;9;44
Dominica;23;17;9;13;16;78
Dominican Republic;85;119;160;209;202;775
Ecuador;786;960;1094;1275;1223;5338
Egypt;6436;7129;9132;11580;12986;47263
El Salvador;48;42;54;75;79;298
Equatorial Guinea;16;6;10;13;13;58
Eritrea;24;20;28;48;34;154
Estonia;544;629;615;765;705;3258
Ethiopia;1549;2009;2926;3604;4131;14219
Falkland Islands (Malvinas);4;5;1;5;1;16
Faroe Islands;38;42;24;35;54;193
Federated States of Micronesia;6;4;18;12;9;49
Fiji;72;90;89;121;123;495
Finland;4975;5409;5641;6459;6561;29045
France;32118;31635;34180;36798;35708;170439
French Guiana;46;50;66;70;56;288
French Polynesia;42;39;34;38;32;185
French Southern Territories;;;1;;;1
Gabon;82;98;95;147;167;589
Gambia;109;122;175;195;203;804
Georgia;565;772;698;705;799;3539
Germany;47530;48378;51578;58318;57079;262883
Ghana;1006;1179;1415;1785;2020;7405
Gibraltar;2;1;4;22;43;72
Greece;5726;6154;6824;8197;8143;35044
Greenland;41;48;32;41;50;212
Grenada;171;167;191;214;207;950
