Country;Name (Country);Region (Country);Population (1. July 2022, UN);GDP per capita (World Bank 2022);World Bank income group;
BD;Bangladesh;Asia;171,186,373;2688.305501;Lower-middle-income economies;
CN;China;Asia;1,433,376,202;12,720;Upper-middle-income economies;
IN;India;Asia;1,417,173,173;2410.888021;Lower-middle-income economies;
IQ;Iraq;Asia;44,496,122;5937.195466;Upper-middle-income economies;
IL;Israel;Asia;9,038,309;54930.93881;High-income economies;
JP;Japan;Asia;123,951,692;34017.27181;High-income economies;
KZ;Kazakhstan;Asia;19,397,998;11492.03194;Upper-middle-income economies;
LB;Lebanon;Asia;5,489,740;4136.146575;Upper-middle-income economies;
MY;Malaysia;Asia;33,938,222;11993.18761;Upper-middle-income economies;
MV;Maldives;Asia;521,021;11780.81691;Upper-middle-income economies;
NP;Nepal;Asia;30,547,580;1336.546047;Lower-middle-income economies;
SA;Saudi Arabia;Asia;36,408,820;30447.88371;High-income economies;
SG;Singapore;Asia;5,975,689;82807.62906;High-income economies;
KR;South Korea;Asia;51,815,810;35142.26427;High-income economies;
TW;Taiwan;Asia;23,893,395;34432;High-income economies;
TH;Thailand;Asia;71,697,030;6909.956285;Upper-middle-income economies;
TR;Turkey;Asia;85,341,241;10674.50417;Upper-middle-income economies;
AE;United Arab Emirates;Asia;;;High-income economies;
ID;Indonesia;Asia;;;Upper-middle-income economies;
PK;Pakistan;Asia;;;Lower-middle-income economies;
QA;Qatar;Asia;;;High-income economies;
TT;Trinidad and Tobago;South America;1,531,045;19629.46534;High-income economies;
AU;Australia;Core Anglosphere;26,177,414;65099.84591;High-income economies;
CA;Canada;Core Anglosphere;38,454,327;55522.44569;High-income economies;
NZ;New Zealand;Core Anglosphere;5,185,289;48418.59166;High-income economies;
GB;United Kingdom;Core Anglosphere;67,508,936;46125.25575;High-income economies;
US;United States;Core Anglosphere;338,289,857;76329.58227;High-income economies;
ET;Ethiopia;East Africa;123,379,925;1027.585911;Low-income economies;
RU;Russia;Eurasia;144,713,314;15270.70605;Upper-middle-income economies;
NO;Norway;Continental Europe;5,434,319;108729.1869;High-income economies;
CH;Switzerland;Continental Europe;8,740,472;93259.90572;High-income economies;
AT;Austria;Continental Europe;8,939,617;52084.6812;High-income economies;
BE;Belgium;Continental Europe;11,655,930;49926.82543;High-income economies;
BG;Bulgaria;Continental Europe;6,781,953;13974.44925;Upper-middle-income economies;
DK;Denmark;Continental Europe;5,882,262;67790.05399;High-income economies;
EE;Estonia;Continental Europe;1,326,062;28247.09599;High-income economies;
FI;Finland;Continental Europe;5,540,746;50871.93045;High-income economies;
FR;France;Continental Europe;64,626,628;40886.25327;High-income economies;
DE;Germany;Continental Europe;83,369,843;48717.99114;High-income economies;
IE;Ireland;Core Anglosphere;5,023,109;103983.2913;High-income economies;
IT;Italy;Continental Europe;59,037,474;34776.42323;High-income economies;
NL;Netherlands;Continental Europe;17,564,014;57025.01246;High-income economies;
PL;Poland;Continental Europe;39,857,146;18688.00449;High-income economies;
PT;Portugal;Continental Europe;10,270,865;24515.26585;High-income economies;
RO;Romania;Continental Europe;19,659,267;15786.80174;High-income economies;
ES;Spain;Continental Europe;47,558,630;29674.54429;High-income economies;
SE;Sweden;Continental Europe;10,549,347;56424.2847;High-income economies;
CZ;Czech Republic;Continental Europe;;;High-income economies;
HU;Hungary;Continental Europe;;;High-income economies;
EG;Egypt;North Africa;110,990,103;3886.722498;Lower-middle-income economies;
FJ;Fiji;Oceania;929,766;5356.164396;Upper-middle-income economies;
CM;Cameroon;South Africa;27,914,537;1563.48894;Lower-middle-income economies;
KE;Kenya;South Africa;54,027,487;2099.301938;Lower-middle-income economies;
LR;Liberia;South Africa;5,302,681;754.5328429;Low-income economies;
NG;Nigeria;South Africa;218,541,212;2162.633734;Lower-middle-income economies;
SL;Sierra Leone;South Africa;8,605,718;475.7957278;Low-income economies;
ZA;South Africa;South Africa;59,893,886;6766.481254;Upper-middle-income economies;
GH;Ghana;South Africa;;;Lower-middle-income economies;
ZW;Zimbabwe;South Africa;;;Lower-middle-income economies;
BR;Brazil;South America;215,313,498;8917.674911;Upper-middle-income economies;
CL;Chile;South America;19,603,733;15355.47974;High-income economies;
CO;Colombia;South America;;;Upper-middle-income economies;
GF;French Guiana;South America;;;Lower-middle-income economies;
PE;Peru;South America;;;Upper-middle-income economies;
SR;Suriname;South America;;;Upper-middle-income economies;
