Data source;Abbreviation (Data source);Origin (Data source)
Optum;Optum;United States
Flatiron Health;Flatiron;United States
Vanderbilt University Medical Center;VUMC;United States
SAIL Databank;SAIL;United Kingdom
South London and Maudsley NHS Foundation Trust;SLaM NHS;United Kingdom
Clinical Practice Research Datalink;CPRD;United Kingdom
Cerner Corporation;Cerner;United States
IBM;IBM;United States
NPS MedicineWise;NPS;Australia
IQVIA;IQVIA;United States
TriNetX;TriNetX;United States
InGef;InGef;Germany
