ICD-10 chapter;Name (ICD-10 chapter)
1;Certain infectious and parasitic diseases
2;Neoplasms
4;Endocrine, nutritional and metabolic diseases
5;Mental and behavioural disorders
6;Diseases of the nervous system
9;Diseases of the circulatory system
10;Diseases of the respiratory system
11;Diseases of the digestive system
12;Diseases of the skin and subcutaneous tissue
13;Diseases of the musculoskeletal system and connective tissue
14;Diseases of the genitourinary system
18;Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
22;Codes for special purposes (COVID-19)
other;other
