Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
1;United States;Northern America;290013;252115;1481528;596290;5.11;1910
2;China;Asiatic Region;193401;187116;887728;541652;4.59;705
3;United Kingdom;Western Europe;86757;74608;566330;122341;6.53;1314
4;Germany;Western Europe;66453;58318;353586;80543;5.32;1096
5;Italy;Western Europe;59373;51109;368593;100418;6.21;984
6;Japan;Asiatic Region;54137;49434;187478;46824;3.46;796
7;India;Asiatic Region;53019;45732;198665;59720;3.75;528
8;Canada;Northern America;48958;43480;293423;49831;5.99;1111
9;Australia;Pacific Region;44035;39179;265280;50387;6.02;935
10;France;Western Europe;42133;36798;287312;42069;6.82;1045
11;Spain;Western Europe;40946;36734;225251;41928;5.5;824
12;Brazil;Latin America;31991;29362;134342;28085;4.2;557
13;South Korea;Asiatic Region;31965;30311;139800;27580;4.37;537
14;Netherlands;Western Europe;30788;27764;219983;31266;7.15;992
15;Turkey;Middle East;24903;22989;82071;14342;3.3;397
16;Iran;Middle East;24039;22820;100374;25912;4.18;296
17;Switzerland;Western Europe;23388;20873;152218;20019;6.51;870
18;Russian Federation;Eastern Europe;22237;21812;58632;15794;2.64;399
19;Sweden;Western Europe;17900;16657;118794;16211;6.64;805
20;Poland;Eastern Europe;17352;16340;88382;16211;5.09;518
21;Belgium;Western Europe;15734;14145;113385;12957;7.21;789
22;Taiwan;Asiatic Region;13874;12844;60720;11316;4.38;431
23;Denmark;Western Europe;13864;12779;107477;13141;7.75;716
24;Egypt;Africa/Middle East;11990;11580;57448;12261;4.79;261
25;Saudi Arabia;Middle East;11618;11237;70050;14392;6.03;297
26;Austria;Western Europe;11020;9817;74003;8767;6.72;605
27;Portugal;Western Europe;10350;9240;56687;7504;5.48;440
28;Mexico;Latin America;9749;9013;45315;5146;4.65;393
29;Israel;Middle East;9574;8760;69924;7531;7.3;588
30;Pakistan;Asiatic Region;9568;8980;50888;10725;5.32;275
31;Greece;Western Europe;9467;8197;58719;7260;6.2;492
32;South Africa;Africa;9146;8400;57124;9204;6.25;444
33;Norway;Western Europe;9085;8503;56947;6992;6.27;591
34;Malaysia;Asiatic Region;8160;7681;41535;6929;5.09;287
35;Ireland;Western Europe;8007;7142;54523;5587;6.81;486
36;Singapore;Asiatic Region;7797;6891;55433;5577;7.11;446
37;Thailand;Asiatic Region;7639;7227;31725;5534;4.15;335
38;Hong Kong;Asiatic Region;7234;6635;55146;5912;7.62;464
39;Indonesia;Asiatic Region;7056;6896;21118;4600;2.99;195
40;Finland;Western Europe;6894;6459;45166;5157;6.55;597
41;Czech Republic;Eastern Europe;6638;6264;37324;4594;5.62;443
42;New Zealand;Pacific Region;6277;5583;35313;4446;5.63;485
43;Colombia;Latin America;5553;5043;22809;2688;4.11;276
44;Chile;Latin America;5433;5054;29079;3335;5.35;314
45;Argentina;Latin America;5136;4716;30064;2493;5.85;392
46;Nigeria;Africa;4693;4435;21134;3759;4.5;208
47;Romania;Eastern Europe;4306;4096;26064;3600;6.05;282
48;Hungary;Eastern Europe;4017;3837;25332;2844;6.31;406
49;Ethiopia;Africa;3674;3604;14817;3750;4.03;152
