Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
Predicting the onset of type 2 diabetes using wide and deep learning with electronic health records.;31505379;Yes;n/a;2019;4;No;NZ;NZ;Practice Fusion;US
Yield of Clinical Screening for Hypertrophic Cardiomyopathy in Child First-Degree Relatives.;31006259;Yes;n/a;2019;9;No;UK;UK;Great Ormond  Street Hospital Center;UK
Rivaroxaban versus warfarin in patients with nonvalvular atrial fibrillation and stage IV-V chronic kidney disease.;32112872;Yes;n/a;2020;9;No;US;US;Optum;US
Impact of schizophrenia genetic liability on the association between schizophrenia and physical illness: data-linkage study.;33168126;Yes;n/a;2020;5;No;UK;UK;SAIL Databank;UK
Increasing Prescription of Opiates and Mortality in Patients With Inflammatory Bowel Diseases in England.;29079223;Yes;n/a;2018;11;No;UK;UK;The Phoenix Partnership ;UK
Accuracy Beyond ISO: Introducing a New Method for Distinguishing Differences Between Blood Glucose Monitoring Systems Meeting ISO 15197:2013 Accuracy Requirements.;29542346;No (excluded in full-paper screening);No real-world application (findings not based on real-world data);2018;;;;;;
Using machine learning to identify patterns of lifetime health problems in decedents with autism spectrum disorder.;29734508;Yes;n/a;2018;5;No;US;US;Marshfield clinic;US
Comparison of Opioids Prescribed for Patients at Risk for Opioid Misuse Before and After Publication of the Centers for Disease Control and Prevention's Opioid Prescribing Guidelines.;33263762;Yes;n/a;2020;5;No;US;US;Optum;US
Suicide attempts requiring hospitalization in patients with eating disorders: A retrospective cohort study.;32043625;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Using SNOMED CT-encoded problems to improve ICD-10-CM coding-A randomized controlled experiment.;31029260;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
One-Year Historical Cohort Study of the Phosphate Binder Sucroferric Oxyhydroxide in Patients on Maintenance Hemodialysis.;30679076;Yes;n/a;2019;4;No;US;US;Fresenius;US
Predicting parkinsonism side-effects of antipsychotic polypharmacy prescribed in secondary mental healthcare.;30232932;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Knowing our patients: a cross-sectional study of adult patients attending an urban Aboriginal and Torres Strait Islander primary healthcare service.;30566850;No (not retrieved);Not retrieved;2019;;;;;;
Toward Understanding the Value of Missing Social Determinants of Health Data in Care Transition Planning.;32851616;Yes;n/a;2020;;No;US;US;University of Alabama Hospital;US
Shining the light on eating disorders, incidence, prognosis and profiling of patients in primary and secondary care: national data linkage study.;31256764;Yes;n/a;2020;5;No;UK;UK;SAIL Databank;UK
ORBDA: An openEHR benchmark dataset for performance assessment of electronic health record servers.;29293556;No (excluded in title and abstract screening);No medical research (focus on data provision);2018;;;;;;
Risk of cardiovascular events and death associated with initiation of SGLT2 inhibitors compared with DPP-4 inhibitors: an analysis from the CVD-REAL 2 multinational cohort study.;32559476;Yes;n/a;2020;4;No;JP;AU;Multiple;AU, CA, DK, DE, IL, JP, NO, SG, KR, ES, SE, CN, US
A Demographic Profile of Mothers and Their Children Who Are Victims of Family and Domestic Violence: Using Linked Police and Hospital Admissions Data.;32370589;Yes;n/a;2022;21;No;AU;AU;Western Australian Data Linkage System;AU
Customization scenarios for de-identification of clinical notes.;32000770;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;
Validation of a machine learning algorithm for early severe sepsis prediction: a retrospective study predicting severe sepsis up to 48 h in advance using a diverse dataset from 461 US hospitals.;33109167;Yes;n/a;2020;1;No;US;US;Cabell Huntington Hospital;US
Effectiveness of herpes zoster vaccination in an older United Kingdom population.;29555217;Yes;n/a;2018;1;No;UK;UK;Clinical Practice Research Datalink;UK
Identifying Predictors of Suicide in Severe Mental Illness: A Feasibility Study of a Clinical Prediction Rule (Oxford Mental Illness and Suicide Tool or OxMIS).;32351413;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
Environmental Influences on Patient Presentations: Considerations for Research and Evaluation at Mass-Gathering Events.;31495346;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;
Efficient learning from big data for cancer risk modeling: A case study with melanoma.;31112896;Yes;n/a;2019;2;No;US;US;Modernizing Medicine;US
Evaluating the Impact of Oncology Care Model Reporting Requirements on Biomarker Testing and Treatment.;32496874;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Safety and effectiveness of apixaban in comparison to warfarin in patients with nonvalvular atrial fibrillation: a propensity-matched analysis from Japanese administrative claims data.;29772946;Yes;n/a;2018;9;No;JP;JP;Multiple;JP
Trends over time in Escherichia coli bloodstream infections, urinary tract infections, and antibiotic susceptibilities in Oxfordshire, UK, 1998-2016: a study of electronic health records.;30126643;Yes;n/a;2018;1;No;UK;UK;Oxford University Hospitals NHS Foundation Trust;UK
Machine learning prediction of incidence of Alzheimer's disease using large-scale administrative health data.;32258428;Yes;n/a;2020;5;No;US;US;Korean National Health Insurance Service;KR
Association of Programmed Cell Death Ligand 1 Expression Status With Receipt of Immune Checkpoint Inhibitors in Patients With Advanced Non-Small Cell Lung Cancer.;32511721;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Prospective study feasibility: Screening of antenatal total abnormal pulmonary venous return.;29240234;No (excluded in title and abstract screening);No tabular data;2018;;;;;;
Primary therapy of Graves' disease and cardiovascular morbidity and mortality: a linked-record cohort study.;30827829;Yes;n/a;2019;4;No;UK;UK;SAIL Databank;UK
Demographic and clinical factors associated with different antidepressant treatments: a retrospective cohort study design in a UK psychiatric healthcare setting.;30185574;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK
Machine Learning and Feature Selection Applied to SEER Data to Reliably Assess Thyroid Cancer Prognosis.;32198433;Yes;n/a;2020;2;No;US;US;National Cancer Institute;US
De-Identification of Radiomics Data Retaining Longitudinal Temporal Information.;32240368;No (excluded in title and abstract screening);No medical research (focus on anonymization);2020;;;;;;
Interplay between traumatic brain injury and intimate partner violence: data driven analysis utilizing electronic health records.;33287806;Yes;n/a;2020;19;No;US;US;IBM;US
Overview of the First Natural Language Processing Challenge for Extracting Medication, Indication, and Adverse Drug Events from Electronic Health Record Notes (MADE 1.0).;30649735;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Sexually transmissible infections among transgender men and women attending Australian sexual health clinics.;31468530;Yes;n/a;2019;1;No;AU;AU;Multiple;AU
Physician Incentives and Sex/Gender Differences in Depression Care: An Interrupted Time Series Analysis.;32219194;Yes;n/a;2020;5;No;CA;CA;Multiple;CA
Real-world Evidence of Diagnostic Testing and Treatment Patterns in US Patients With Breast Cancer With Implications for Treatment Biomarkers From RNA Sequencing Data.;33446413;No (not retrieved);Not retrieved;2021;;;;;;
Development of CancerLinQ, a Health Information Learning Platform From Multiple Electronic Health Record Systems to Support Improved Quality of Care.;33104389;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Reviewing a Decade of Research Into Suicide and Related Behaviour Using the South London and Maudsley NHS Foundation Trust Clinical Record Interactive Search (CRIS) System.;33329090;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
The World Health Organization's hearing-impairment grading system: an evaluation for unaided communication in age-related hearing loss.;30318941;Yes;n/a;2019;8;No;US;;Multiple;US, AU
Differences in Management of Coronary Artery Disease in Patients With Medicare Advantage vs Traditional Fee-for-Service Medicare Among Cardiology Practices.;30785590;Yes;n/a;2019;9;No;US;US;American College of Cardiology Foundation;US
Primary tumor location and survival in colorectal cancer: A retrospective cohort study.;32368319;Yes;n/a;2020;2;No;US;US;Flatiron Health;US
Deep learning and feature based medication classifications from EEG in a large clinical data set.;32848165;Yes;n/a;2020;;No;US;US;Temple University Hospital;US
Bidirectional associations between COVID-19 and psychiatric disorder: retrospective cohort studies of 62 354 COVID-19 cases in the USA.;33181098;Yes;n/a;2021;5;Yes;UK;UK;TriNetX;US
Regulatory-accepted drug development tools are needed to accelerate innovative CNS disease treatments.;29410157;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Improving the phenotype risk score as a scalable approach to identifying patients with Mendelian disease.;31609419;Yes;n/a;2019;;No;US;US;Vanderbilt University Medical Center;US
Feasibility of real-time capture of routine clinical data in the electronic health record: a hospital-based, observational service-evaluation study.;29523565;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;;;;;;
Real-World Assessment of Weight Change in People with HIV-1 After Initiating Integrase Strand Transfer Inhibitors or Protease Inhibitors.;32766375;Yes;n/a;2020;1;No;US;US;Optum;US
Prevalence of Ophthalmologic Diagnoses in Children With Autism Spectrum Disorder Using the Optum Dataset: APopulation-Based Study.;32896499;Yes;n/a;2021;7;No;US;US;Optum;US
Prior diagnoses and medications as risk factors for COVID-19 in a Los Angeles Health System.;32637977;No (excluded before screening);Preprint;2020;;;;;;
Real-world survival of patients with advanced BRAF V600 mutated melanoma treated with front-line BRAF/MEK inhibitors, anti-PD-1 antibodies, or nivolumab/ipilimumab.;31677253;Yes;n/a;2019;2;No;US;US;Flatiron Health;US
Blood pressure control and adverse outcomes of COVID-19 infection in patients with concomitant hypertension in Wuhan, China.;32855527;Yes;n/a;2020;22;Yes;CN;CN;Huoshenshan Hospital;CN
Clinical features in primary care electronic records before diagnosis of ankylosing spondylitis: a nested case-control study.;32375655;Yes;n/a;2020;13;No;UK;UK;University of Aberdeen;UK
A Tale of 2 Constituencies: Exploring Patient and Clinician Perspectives in the Age of Big Data.;30074954;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;
Prevalence of suspected COVID-19 infection in patients from ethnic minority populations: a cross-sectional study in primary care.;32895242;Yes;n/a;2020;22;Yes;UK;UK;Multiple;UK
Recommendations and Extraction of Clinical Variables of Pediatric Multiple Sclerosis Using Common Data Elements.;29652736;Yes;n/a;2018;6;No;US;US;St. Louis Children Hospital;US
Metabolic Effects of Androgen-associated Body Mass in Klinefelter Syndrome.;30828410;Yes;n/a;2018;17;No;US;US;Cerner Corporation;US
Long term extension of a randomised controlled trial of probiotics using electronic health records.;29769554;Yes;n/a;2018;;No;UK;UK;SAIL Databank;UK
