Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
Predicting the onset of type 2 diabetes using wide and deep learning with electronic health records.;Nguyen BP and Pham HN and Tran H and Nghiem N and Nguyen QH and Do TTT and Tran CT and Simpson CR;31505379;Yes;n/a;2019;4;No;NZ;NZ;Practice Fusion;US;High-income economies
Yield of Clinical Screening for Hypertrophic Cardiomyopathy in Child First-Degree Relatives.;Norrish G and Jager J and Field E and Quinn E and Fell H and Lord E and Cicerchia MN and Ochoa JP and Cervi E and Elliott PM and Kaski JP;31006259;Yes;n/a;2019;9;No;UK;UK;Great Ormond  Street Hospital Center;UK;High-income economies
Rivaroxaban versus warfarin in patients with nonvalvular atrial fibrillation and stage IV-V chronic kidney disease.;Weir MR and Ashton V and Moore KT and Shrivastava S and Peterson ED and Ammann EM;32112872;Yes;n/a;2020;9;No;US;US;Optum;US;High-income economies
Impact of schizophrenia genetic liability on the association between schizophrenia and physical illness: data-linkage study.;Kendall KM and John A and Lee SC and Rees E and Pardiñas AF and Banos MDP and Owen MJ and O'Donovan MC and Kirov G and Lloyd K and Jones I and Legge SE and Walters JTR;33168126;Yes;n/a;2020;5;No;UK;UK;SAIL Databank;UK;High-income economies
Increasing Prescription of Opiates and Mortality in Patients With Inflammatory Bowel Diseases in England.;Burr NE and Smith C and West R and Hull MA and Subramanian V;29079223;Yes;n/a;2018;11;No;UK;UK;The Phoenix Partnership ;UK;High-income economies
Accuracy Beyond ISO: Introducing a New Method for Distinguishing Differences Between Blood Glucose Monitoring Systems Meeting ISO 15197:2013 Accuracy Requirements.;Pardo S and Shaginian RM and Simmons DA;29542346;No (excluded in full-paper screening);4a (the Systems were anonymized);2018;4;?;US;?;;;
Using machine learning to identify patterns of lifetime health problems in decedents with autism spectrum disorder.;Bishop-Fitzpatrick L and Movaghar A and Greenberg JS and Page D and DaWalt LS and Brilliant MH and Mailick MR;29734508;Yes;n/a;2018;5;No;US;US;Marshfield clinic;US;High-income economies
Comparison of Opioids Prescribed for Patients at Risk for Opioid Misuse Before and After Publication of the Centers for Disease Control and Prevention's Opioid Prescribing Guidelines.;Scherrer JF and Tucker J and Salas J and Zhang Z and Grucza R;33263762;Yes;n/a;2020;5;No;US;US;Optum;US;High-income economies
Suicide attempts requiring hospitalization in patients with eating disorders: A retrospective cohort study.;Cliffe C and Shetty H and Himmerich H and Schmidt U and Stewart R and Dutta R;32043625;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Using SNOMED CT-encoded problems to improve ICD-10-CM coding-A randomized controlled experiment.;Fung KW and Xu J and Rosenbloom ST and Campbell JR;31029260;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
