Title;Authors;PMID;Include;Reason for exclusion;Publishing year;Publishing month;Submission year;Submission month;Research data;Healthcare data;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Time-to-Publication
Sharing patient data: understanding anonymisation.;Affleck P and Carrigan C;29976597;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;7;na;na;No;Yes;;;;;;;
"HIPAA and the Leak of ""Deidentified"" EHR Data.";Gross MS and Hood AJ and Rubin JC;34525297;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;9;na;na;No;Yes;;;;;;;
"HIPAA and the Leak of ""Deidentified"" EHR Data.";Sim I and Cassel C;34525298;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;9;na;na;No;Yes;;;;;;;
"HIPAA and the Leak of ""Deidentified"" EHR Data. Reply.";Mandl KD and Perakslis ED;34525299;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;9;na;na;No;Yes;;;;;;;
A large language model for electronic health records.;Yang X and Chen A and PourNejatian N and Shin HC and Smith KE and Parisien C and Compas C and Martin C and Costa AB and Flores MG and Zhang Y and Magoc T and Harle CA and Lipori G and Mitchell DA and Hogan WR and Shenkman EA and Bian J and Wu Y;36572766;No (excluded in title and abstract screening);No tabular data;2022;12;2022;6;No;Yes;;;;;;;6.0
Real-world effectiveness of CPX-351 vs venetoclax and azacitidine in acute myeloid leukemia.;Matthews AH and Perl AE and Luger SM and Loren AW and Gill SI and Porter DL and Babushok DV and Maillard IP and Carroll MP and Frey NV and Hexner EO and Martin ME and McCurdy SR and Stadtmauer EA and Paralkar VR and Bruno XJ and Hwang WT and Margolis D and Pratz KW;35507945;Yes;;2022;7;2022;2;No;Yes;2;No;US;US;Flatiron Health;US;5.0
"HIPAA and the Leak of ""Deidentified"" EHR Data.";Mandl KD and Perakslis ED;34110112;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;6;na;na;No;Yes;;;;;;;
Scalable and accurate deep learning with electronic health records.;Rajkomar A and Oren E and Chen K and Dai AM and Hajaj N and Hardt M and Liu PJ and Liu X and Marcus J and Sun M and Sundberg P and Yee H and Zhang K and Zhang Y and Flores G and Duggan GE and Irvine J and Le Q and Litsch K and Mossin A and Tansuwan J and Wang D and Wexler J and Wilson J and Ludwig D and Volchenboum SL and Chou K and Pearson M and Madabushi S and Shah NH and Butte AJ and Howell MD and Cui C and Corrado GS and Dean J;31304302;Yes;;2018;;2018;1;No;Yes;;No;US;US;University of California San Francisco, University of Chicago Medicine;US;
Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis.;Shickel B and Tighe PJ and Bihorac A and Rashidi P;29989977;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2018;9;na;na;No;Yes;;;;;;;
Orthostatic Hypotension and Falls in Hospitalized Older Adults.;Schell K and Lyons D and Bodt B;33426904;Yes;;2021;6;na;na;No;Yes;9;No;US;US;ChristianaCare;US;
Corrigendum to: Enabling qualitative research data sharing using a natural language processing pipeline for deidentification: moving beyond HIPAA Safe Harbor identifiers.;Gupta A and Lai A and Mozersky J and Ma X and Walsh H and DuBois JM;35059564;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;4;na;na;Yes;No;;;;;;;
