Index;PMID;Data source;First author from VUMC
78;31609419;Vanderbilt University Medical Center;Yes
99;29636090;Vanderbilt University Medical Center;Yes
112;31769998;Vanderbilt University Medical Center;Yes
121;30608875;Vanderbilt University Medical Center;Yes
155;33234666;Vanderbilt University Medical Center;Yes
162;31134134;Vanderbilt University Medical Center;No
169;30153257;Vanderbilt University Medical Center;Yes
222;30142026;Vanderbilt University Medical Center;Yes
235;29544366;Vanderbilt University Medical Center;Yes
236;33033174;Vanderbilt University Medical Center;Yes
262;32984850;Vanderbilt University Medical Center;Yes
285;33156808;Vanderbilt University Medical Center;Yes
305;30255797;Vanderbilt University Medical Center;No
316;29960993;Vanderbilt University Medical Center;Yes
317;30255811;Vanderbilt University Medical Center;No
346;31509211;Vanderbilt University Medical Center;Yes
360;30875459;Vanderbilt University Medical Center;Yes
371;30661084;Vanderbilt University Medical Center;Yes
395;30773988;Vanderbilt University Medical Center;Yes
402;30919267;Vanderbilt University Medical Center;Yes
485;29481723;Vanderbilt University Medical Center;Yes
490;31221051;Vanderbilt University Medical Center;Yes
508;29907250;Vanderbilt University Medical Center;Yes
573;31480066;Vanderbilt University Medical Center;No
600;30657536;Vanderbilt University Medical Center;Yes
623;31888720;Vanderbilt University Medical Center;Yes
645;30776417;Vanderbilt University Medical Center;Yes
1049;35670028;Vanderbilt University Medical Center;Yes
1063;33894541;Vanderbilt University Medical Center;Yes
1087;36279805;Vanderbilt University Medical Center;Yes
1092;33750887;Vanderbilt University Medical Center;Yes
1118;35152084;Vanderbilt University Medical Center;Yes
1191;34825179;Vanderbilt University Medical Center;Yes
1257;33516683;Vanderbilt University Medical Center;No
1322;33712848;Vanderbilt University Medical Center;Yes
1364;34098570;Vanderbilt University Medical Center;Yes
1412;35127128;Vanderbilt University Medical Center;Yes
1418;35191121;Vanderbilt University Medical Center;Yes
1419;34092124;Vanderbilt University Medical Center;No
1451;33611730;Vanderbilt University Medical Center;Yes
1503;35583884;Vanderbilt University Medical Center;Yes
2044;32198840;Vanderbilt University Medical Center;Yes
2079;32958289;Vanderbilt University Medical Center;Yes
2101;32803091;Vanderbilt University Medical Center;Yes
2176;32866461;Vanderbilt University Medical Center;No
2179;30380083;Vanderbilt University Medical Center;Yes
2217;29480090;Vanderbilt University Medical Center;Yes
2309;34687917;Vanderbilt University Medical Center;Yes
2439;29679162;Vanderbilt University Medical Center;Yes
2564;35506103;Vanderbilt University Medical Center;Yes
2614;33524941;Vanderbilt University Medical Center;Yes
2665;33246208;Vanderbilt University Medical Center;Yes
