Country;Count (Data origin);Name (Country);Region (Country);Citable documents_total;Data origin per 1000 citable documents
JP;18;Japan;Asia;221677;0.081199222
KR;7;South Korea;Asia;135723;0.051575636
IN;6;India;Asia;199794;0.030030932
CN;10;China;Asia;824284;0.012131741
GB;179;United Kingdom;Core Anglosphere;330877;0.54098653
US;534;United States;Core Anglosphere;1156262;0.461833045
AU;53;Australia;Core Anglosphere;178579;0.296787416
CA;16;Canada;Core Anglosphere;197847;0.080870572
RU;2;Russia;Eurasia;92812;0.021548938
DE;34;Germany;Continental Europe;262883;0.129335103
ES;11;Spain;Continental Europe;158763;0.069285665
FR;11;France;Continental Europe;170439;0.064539219
NL;6;Netherlands;Continental Europe;125826;0.047684898
CH;4;Switzerland;Continental Europe;91883;0.043533624
IT;3;Italy;Continental Europe;220130;0.013628311
BR;1;Brazil;South America;129774;0.007705704
other;75;other;other;1656111;0.04528682
