First author;Data origin_list;Name (Country first author);Name (Country data origin)
GB;DE;United Kingdom;Germany
GB;AU;United Kingdom;Australia
DE;US;Germany;United States
GB;DE;United Kingdom;Germany
DE;US;Germany;United States
GB;US;United Kingdom;United States
CH;US;Switzerland;United States
JP;US;Japan;United States
CH;US;Switzerland;United States
DE;US;Germany;United States
CH;US;Switzerland;United States
JP;US;Japan;United States
US;GB;United States;United Kingdom
US;GB;United States;United Kingdom
GB;AU;United Kingdom;Australia
GB;DE;United Kingdom;Germany
GB;ES;United Kingdom;Spain
GB;US;United Kingdom;United States
JP;US;Japan;United States
GB;US;United Kingdom;United States
JP;US;Japan;United States
DE;US;Germany;United States
CH;US;Switzerland;United States
CA;US;Canada;United States
CA;US;Canada;United States
CA;US;Canada;United States
CA;US;Canada;United States
CA;US;Canada;United States
US;GB;United States;United Kingdom
CA;US;Canada;United States
GB;ES;United Kingdom;Spain
US;GB;United States;United Kingdom
GB;US;United Kingdom;United States
GB;AU;United Kingdom;Australia
GB;ES;United Kingdom;Spain
GB;US;United Kingdom;United States
CA;US;Canada;United States
GB;US;United Kingdom;United States
GB;ES;United Kingdom;Spain
