Data source;Count (Data source);Abbreviation (Data source);Origin (Data source)
Optum;115;Optum;United States
Flatiron Health;92;Flatiron;United States
Vanderbilt University Medical Center;52;VUMC;United States
SAIL Databank;50;SAIL;United Kingdom
Clinical Practice Research Datalink;41;CPRD;United Kingdom
Cerner Corporation;25;Cerner;United States
South London and Maudsley NHS Foundation Trust;25;SLaM NHS;United Kingdom
IBM;23;IBM;United States
TriNetX;17;TriNetX;United States
IQVIA;11;IQVIA;United States
InGef;11;InGef;Germany
NPS MedicineWise;10;NPS;Australia
