Abbreviation (Data source);Name (ICD-10 chapter)
SAIL;other
CPRD;other
Cerner;Neoplasms
Cerner;Diseases of the circulatory system
Cerner;Diseases of the circulatory system
Cerner;other
Cerner;Mental and behavioural disorders
Cerner;Codes for special purposes (COVID-19)
Cerner;other
Cerner;other
Cerner;Endocrine, nutritional and metabolic diseases
Cerner;Endocrine, nutritional and metabolic diseases
Cerner;Diseases of the circulatory system
Cerner;other
Cerner;other
IQVIA;Diseases of the circulatory system
Cerner;other
Cerner;other
IQVIA;other
Cerner;other
Cerner;other
Cerner;Mental and behavioural disorders
Cerner;other
Cerner;Endocrine, nutritional and metabolic diseases
Cerner;Diseases of the circulatory system
Cerner;Diseases of the circulatory system
Cerner;Codes for special purposes (COVID-19)
Optum;Codes for special purposes (COVID-19)
SAIL;Mental and behavioural disorders
SLaM NHS;Mental and behavioural disorders
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
IQVIA;other
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
IQVIA;other
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Mental and behavioural disorders
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
IQVIA;other
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
CPRD;other
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
IQVIA;other
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
NPS;other
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
SLaM NHS;Mental and behavioural disorders
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
IQVIA;other
SAIL;Codes for special purposes (COVID-19)
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
SAIL;Endocrine, nutritional and metabolic diseases
Flatiron;Neoplasms
IQVIA;Endocrine, nutritional and metabolic diseases
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
Flatiron;Neoplasms
SAIL;Endocrine, nutritional and metabolic diseases
IQVIA;other
IQVIA;Neoplasms
IBM;Mental and behavioural disorders
IBM;Diseases of the circulatory system
IBM;Diseases of the circulatory system
IBM;other
IBM;Mental and behavioural disorders
IBM;other
IBM;Certain infectious and parasitic diseases
IBM;other
IBM;other
IBM;other
IBM;other
IBM;other
IBM;other
SAIL;Mental and behavioural disorders
IBM;other
IBM;Mental and behavioural disorders
IBM;Diseases of the circulatory system
CPRD;Certain infectious and parasitic diseases
CPRD;Endocrine, nutritional and metabolic diseases
IBM;other
IBM;other
IBM;Codes for special purposes (COVID-19)
SLaM NHS;Mental and behavioural disorders
SLaM NHS;Mental and behavioural disorders
SAIL;Certain infectious and parasitic diseases
SAIL;Codes for special purposes (COVID-19)
NPS;Mental and behavioural disorders
SLaM NHS;other
SLaM NHS;Mental and behavioural disorders
SAIL;other
NPS;other
NPS;other
Optum;Diseases of the circulatory system
Optum;Neoplasms
Optum;other
Optum;Codes for special purposes (COVID-19)
Optum;other
Optum;Codes for special purposes (COVID-19)
Optum;Codes for special purposes (COVID-19)
Optum;other
SAIL;Endocrine, nutritional and metabolic diseases
SAIL;other
SAIL;Codes for special purposes (COVID-19)
Optum;other
